code_bassin;demandeurs_emploi;secteur_libelle
7612;59;Commerce -  réparation d'automobiles et de motocycles
7612;54;Industrie manufacturière
7612;29;Construction
7612;28;Hébergement et restauration
7612;23;Activités de services administratifs et de soutien
7612;23;Activités spécialisées, scientifiques et techniques
7612;20;Santé humaine et action sociale
7612;14;Administration publique
7612;8;Transports et entreposage
7612;7;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7612;3;Autres activités de services
7612;2;Information et communication
7612;2;Enseignement
7612;2;Activités immobilières
7612;2;Activités financières et d'assurance
7612;1;Arts, spectacles et activités récréatives
7612;1;Industries extractives
7611;250;Commerce -  réparation d'automobiles et de motocycles
7611;129;Industrie manufacturière
7611;98;Hébergement et restauration
7611;80;Construction
7611;75;Santé humaine et action sociale
7611;55;Activités spécialisées, scientifiques et techniques
7611;52;Administration publique
7611;34;Transports et entreposage
7611;34;Activités de services administratifs et de soutien
7611;28;Autres activités de services
7611;21;Arts, spectacles et activités récréatives
7611;18;Enseignement
7611;16;Activités financières et d'assurance
7611;12;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7611;6;Activités immobilières
7611;5;Agriculture, sylviculture et pêche
7611;2;Industries extractives
7611;2;Information et communication
7610;140;Hébergement et restauration
7610;134;Santé humaine et action sociale
7610;94;Commerce -  réparation d'automobiles et de motocycles
7610;77;Industrie manufacturière
7610;66;Administration publique
7610;43;Activités spécialisées, scientifiques et techniques
7610;43;Construction
7610;43;Autres activités de services
7610;32;Transports et entreposage
7610;26;Enseignement
7610;23;Arts, spectacles et activités récréatives
7610;22;Activités de services administratifs et de soutien
7610;20;Activités financières et d'assurance
7610;13;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7610;7;Activités immobilières
7610;4;Agriculture, sylviculture et pêche
7608;383;Commerce -  réparation d'automobiles et de motocycles
7608;319;Santé humaine et action sociale
7608;316;Industrie manufacturière
7608;245;Construction
7608;199;Hébergement et restauration
7608;138;Activités spécialisées, scientifiques et techniques
7608;92;Administration publique
7608;65;Activités de services administratifs et de soutien
7608;65;Transports et entreposage
7608;37;Autres activités de services
7608;36;Enseignement
7608;28;Arts, spectacles et activités récréatives
7608;28;Agriculture, sylviculture et pêche
7608;28;Activités financières et d'assurance
7608;26;Activités immobilières
7608;26;Information et communication
7608;12;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7608;9;Industries extractives
7608;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7607;432;Commerce -  réparation d'automobiles et de motocycles
7607;221;Industrie manufacturière
7607;182;Santé humaine et action sociale
7607;142;Construction
7607;140;Hébergement et restauration
7607;121;Activités spécialisées, scientifiques et techniques
7607;108;Enseignement
7607;94;Administration publique
7607;64;Activités de services administratifs et de soutien
7607;53;Arts, spectacles et activités récréatives
7607;50;Transports et entreposage
7607;28;Autres activités de services
7607;19;Activités immobilières
7607;19;Activités financières et d'assurance
7607;17;Agriculture, sylviculture et pêche
7607;16;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7607;11;Information et communication
7607;1;Industries extractives
7606;418;Santé humaine et action sociale
7606;415;Commerce -  réparation d'automobiles et de motocycles
7606;375;Hébergement et restauration
7606;270;Activités de services administratifs et de soutien
7606;214;Administration publique
7606;207;Construction
7606;196;Industrie manufacturière
7606;160;Activités spécialisées, scientifiques et techniques
7606;134;Autres activités de services
7606;101;Transports et entreposage
7606;70;Activités financières et d'assurance
7606;59;Enseignement
7606;53;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7606;44;Information et communication
7606;35;Arts, spectacles et activités récréatives
7606;30;Activités immobilières
7606;10;Agriculture, sylviculture et pêche
7606;5;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7606;1;Industries extractives
7605;190;Hébergement et restauration
7605;105;Commerce -  réparation d'automobiles et de motocycles
7605;88;Santé humaine et action sociale
7605;60;Construction
7605;50;Activités de services administratifs et de soutien
7605;47;Industrie manufacturière
7605;38;Administration publique
7605;35;Activités spécialisées, scientifiques et techniques
7605;34;Transports et entreposage
7605;20;Autres activités de services
7605;16;Arts, spectacles et activités récréatives
7605;6;Enseignement
7605;5;Information et communication
7605;4;Agriculture, sylviculture et pêche
7605;4;Activités immobilières
7605;4;Activités financières et d'assurance
7605;2;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7604;485;Commerce -  réparation d'automobiles et de motocycles
7604;458;Hébergement et restauration
7604;383;Santé humaine et action sociale
7604;323;Industrie manufacturière
7604;239;Construction
7604;230;Activités de services administratifs et de soutien
7604;158;Enseignement
7604;142;Administration publique
7604;139;Transports et entreposage
7604;117;Activités spécialisées, scientifiques et techniques
7604;90;Activités financières et d'assurance
7604;75;Autres activités de services
7604;56;Arts, spectacles et activités récréatives
7604;24;Activités immobilières
7604;14;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7604;14;Information et communication
7604;10;Agriculture, sylviculture et pêche
7604;2;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7601;240;Santé humaine et action sociale
7601;240;Commerce -  réparation d'automobiles et de motocycles
7601;183;Administration publique
7601;158;Hébergement et restauration
7601;119;Construction
7601;109;Activités de services administratifs et de soutien
7601;81;Industrie manufacturière
7601;72;Activités spécialisées, scientifiques et techniques
7601;60;Transports et entreposage
7601;58;Enseignement
7601;40;Autres activités de services
7601;20;Activités financières et d'assurance
7601;16;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7601;13;Activités immobilières
7601;12;Agriculture, sylviculture et pêche
7601;11;Arts, spectacles et activités récréatives
7601;8;Information et communication
7601;3;Industries extractives
7549;132;Commerce -  réparation d'automobiles et de motocycles
7549;103;Santé humaine et action sociale
7549;92;Industrie manufacturière
7549;78;Hébergement et restauration
7549;56;Activités des ménages en tant qu'employeurs-  Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre
7549;46;Construction
7549;39;Administration publique
7549;29;Agriculture, sylviculture et pêche
7549;28;Activités spécialisées, scientifiques et techniques
7549;24;Transports et entreposage
7549;21;Arts, spectacles et activités récréatives
7549;19;Activités de services administratifs et de soutien
7549;15;Autres activités de services
7549;6;Activités immobilières
7549;4;Activités financières et d'assurance
7549;4;Enseignement
7549;3;Industries extractives
7549;3;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7549;2;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7549;2;Information et communication
7548;120;Commerce -  réparation d'automobiles et de motocycles
7548;95;Industrie manufacturière
7548;59;Santé humaine et action sociale
7548;43;Hébergement et restauration
7548;39;Construction
7548;36;Autres activités de services
7548;35;Activités spécialisées, scientifiques et techniques
7548;34;Administration publique
7548;25;Activités de services administratifs et de soutien
7548;20;Agriculture, sylviculture et pêche
7548;9;Transports et entreposage
7548;8;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7548;8;Activités financières et d'assurance
7548;6;Enseignement
7548;6;Arts, spectacles et activités récréatives
7548;5;Information et communication
7548;2;Activités immobilières
7548;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7547;105;Industrie manufacturière
7547;84;Commerce -  réparation d'automobiles et de motocycles
7547;55;Hébergement et restauration
7547;46;Transports et entreposage
7547;44;Activités de services administratifs et de soutien
7547;42;Santé humaine et action sociale
7547;37;Construction
7547;21;Enseignement
7547;17;Autres activités de services
7547;14;Activités spécialisées, scientifiques et techniques
7547;13;Administration publique
7547;4;Arts, spectacles et activités récréatives
7547;3;Activités financières et d'assurance
7547;3;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7547;2;Information et communication
7547;2;Activités immobilières
7547;1;Agriculture, sylviculture et pêche
7546;52;Industrie manufacturière
7546;43;Commerce -  réparation d'automobiles et de motocycles
7546;36;Construction
7546;34;Santé humaine et action sociale
7546;31;Hébergement et restauration
7546;16;Administration publique
7546;13;Industries extractives
7546;12;Transports et entreposage
7546;10;Activités spécialisées, scientifiques et techniques
7546;9;Autres activités de services
7546;8;Agriculture, sylviculture et pêche
7546;7;Activités de services administratifs et de soutien
7546;6;Information et communication
7546;4;Enseignement
7546;3;Arts, spectacles et activités récréatives
7546;1;Activités financières et d'assurance
7546;1;Activités immobilières
7545;1003;Commerce -  réparation d'automobiles et de motocycles
7545;917;Hébergement et restauration
7545;655;Santé humaine et action sociale
7545;638;Activités de services administratifs et de soutien
7545;552;Industrie manufacturière
7545;488;Enseignement
7545;353;Construction
7545;343;Transports et entreposage
7545;323;Activités spécialisées, scientifiques et techniques
7545;240;Administration publique
7545;182;Autres activités de services
7545;108;Arts, spectacles et activités récréatives
7545;90;Activités financières et d'assurance
7545;61;Activités immobilières
7545;58;Information et communication
7545;39;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7545;19;Agriculture, sylviculture et pêche
7545;8;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7545;4;Industries extractives
7544;73;Santé humaine et action sociale
7544;43;Commerce -  réparation d'automobiles et de motocycles
7544;43;Industrie manufacturière
7544;33;Administration publique
7544;27;Construction
7544;21;Agriculture, sylviculture et pêche
7544;17;Hébergement et restauration
7544;17;Activités spécialisées, scientifiques et techniques
7544;14;Activités de services administratifs et de soutien
7544;14;Autres activités de services
7544;12;Transports et entreposage
7544;9;Arts, spectacles et activités récréatives
7544;6;Activités financières et d'assurance
7544;4;Enseignement
7544;4;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7544;3;Information et communication
7544;1;Activités immobilières
7543;170;Commerce -  réparation d'automobiles et de motocycles
7543;150;Hébergement et restauration
7543;149;Santé humaine et action sociale
7543;106;Industrie manufacturière
7543;92;Construction
7543;62;Transports et entreposage
7543;45;Activités de services administratifs et de soutien
7543;37;Autres activités de services
7543;36;Administration publique
7543;28;Activités spécialisées, scientifiques et techniques
7543;27;Agriculture, sylviculture et pêche
7543;21;Activités financières et d'assurance
7543;18;Arts, spectacles et activités récréatives
7543;18;Activités immobilières
7543;17;Enseignement
7543;13;Information et communication
7543;8;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7543;2;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7542;96;Commerce -  réparation d'automobiles et de motocycles
7542;78;Santé humaine et action sociale
7542;64;Hébergement et restauration
7542;51;Industrie manufacturière
7542;37;Construction
7542;34;Administration publique
7542;17;Activités spécialisées, scientifiques et techniques
7542;14;Agriculture, sylviculture et pêche
7542;13;Activités financières et d'assurance
7542;13;Activités de services administratifs et de soutien
7542;11;Transports et entreposage
7542;10;Autres activités de services
7542;9;Information et communication
7542;9;Enseignement
7542;4;Activités immobilières
7542;4;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7542;4;Arts, spectacles et activités récréatives
7542;2;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7542;1;Industries extractives
7541;179;Santé humaine et action sociale
7541;173;Commerce -  réparation d'automobiles et de motocycles
7541;147;Activités de services administratifs et de soutien
7541;126;Industrie manufacturière
7541;92;Administration publique
7541;86;Construction
7541;82;Hébergement et restauration
7541;67;Autres activités de services
7541;49;Activités spécialisées, scientifiques et techniques
7541;37;Activités financières et d'assurance
7541;34;Transports et entreposage
7541;25;Information et communication
7541;22;Enseignement
7541;20;Arts, spectacles et activités récréatives
7541;20;Agriculture, sylviculture et pêche
7541;5;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7541;5;Activités immobilières
7541;2;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7541;1;Industries extractives
7540;567;Commerce -  réparation d'automobiles et de motocycles
7540;427;Hébergement et restauration
7540;319;Construction
7540;318;Industrie manufacturière
7540;231;Santé humaine et action sociale
7540;216;Activités de services administratifs et de soutien
7540;199;Transports et entreposage
7540;177;Activités spécialisées, scientifiques et techniques
7540;75;Activités financières et d'assurance
7540;71;Autres activités de services
7540;51;Administration publique
7540;41;Arts, spectacles et activités récréatives
7540;29;Enseignement
7540;23;Information et communication
7540;19;Activités immobilières
7540;19;Agriculture, sylviculture et pêche
7540;17;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7540;4;Industries extractives
7540;2;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7539;2073;Hébergement et restauration
7539;1826;Commerce -  réparation d'automobiles et de motocycles
7539;1040;Santé humaine et action sociale
7539;967;Activités de services administratifs et de soutien
7539;911;Industrie manufacturière
7539;676;Construction
7539;621;Activités spécialisées, scientifiques et techniques
7539;303;Transports et entreposage
7539;250;Autres activités de services
7539;195;Administration publique
7539;178;Information et communication
7539;169;Activités immobilières
7539;155;Activités financières et d'assurance
7539;148;Arts, spectacles et activités récréatives
7539;145;Enseignement
7539;36;Agriculture, sylviculture et pêche
7539;26;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7539;9;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7539;2;Industries extractives
7538;1365;Commerce -  réparation d'automobiles et de motocycles
7538;1081;Santé humaine et action sociale
7538;1074;Hébergement et restauration
7538;908;Activités de services administratifs et de soutien
7538;858;Industrie manufacturière
7538;679;Activités spécialisées, scientifiques et techniques
7538;628;Construction
7538;323;Administration publique
7538;297;Transports et entreposage
7538;237;Enseignement
7538;182;Activités financières et d'assurance
7538;182;Information et communication
7538;158;Autres activités de services
7538;151;Arts, spectacles et activités récréatives
7538;71;Activités immobilières
7538;64;Agriculture, sylviculture et pêche
7538;47;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7538;44;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7538;7;Industries extractives
7537;409;Commerce -  réparation d'automobiles et de motocycles
7537;182;Industrie manufacturière
7537;160;Hébergement et restauration
7537;126;Santé humaine et action sociale
7537;103;Construction
7537;61;Activités spécialisées, scientifiques et techniques
7537;58;Activités de services administratifs et de soutien
7537;28;Transports et entreposage
7537;25;Administration publique
7537;24;Autres activités de services
7537;22;Agriculture, sylviculture et pêche
7537;21;Arts, spectacles et activités récréatives
7537;19;Activités financières et d'assurance
7537;12;Enseignement
7537;10;Activités immobilières
7537;8;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7537;6;Information et communication
7537;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7536;274;Commerce -  réparation d'automobiles et de motocycles
7536;163;Industrie manufacturière
7536;144;Hébergement et restauration
7536;133;Construction
7536;120;Santé humaine et action sociale
7536;117;Activités de services administratifs et de soutien
7536;67;Administration publique
7536;61;Activités spécialisées, scientifiques et techniques
7536;61;Transports et entreposage
7536;38;Autres activités de services
7536;25;Enseignement
7536;21;Activités financières et d'assurance
7536;20;Agriculture, sylviculture et pêche
7536;12;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7536;11;Information et communication
7536;10;Arts, spectacles et activités récréatives
7536;10;Activités immobilières
7536;1;Industries extractives
7535;607;Commerce -  réparation d'automobiles et de motocycles
7535;454;Hébergement et restauration
7535;375;Industrie manufacturière
7535;336;Santé humaine et action sociale
7535;232;Activités spécialisées, scientifiques et techniques
7535;182;Construction
7535;166;Activités de services administratifs et de soutien
7535;147;Administration publique
7535;123;Transports et entreposage
7535;76;Activités financières et d'assurance
7535;74;Arts, spectacles et activités récréatives
7535;65;Enseignement
7535;63;Autres activités de services
7535;25;Activités immobilières
7535;22;Information et communication
7535;14;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7535;12;Agriculture, sylviculture et pêche
7535;9;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7535;1;Industries extractives
7534;684;Commerce -  réparation d'automobiles et de motocycles
7534;566;Hébergement et restauration
7534;507;Santé humaine et action sociale
7534;354;Industrie manufacturière
7534;283;Construction
7534;242;Transports et entreposage
7534;208;Activités de services administratifs et de soutien
7534;205;Administration publique
7534;134;Activités spécialisées, scientifiques et techniques
7534;102;Autres activités de services
7534;71;Arts, spectacles et activités récréatives
7534;63;Enseignement
7534;54;Agriculture, sylviculture et pêche
7534;45;Activités financières et d'assurance
7534;32;Activités immobilières
7534;19;Information et communication
7534;13;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7534;5;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7534;4;Industries extractives
7533;757;Commerce -  réparation d'automobiles et de motocycles
7533;496;Hébergement et restauration
7533;381;Santé humaine et action sociale
7533;314;Industrie manufacturière
7533;305;Construction
7533;202;Activités de services administratifs et de soutien
7533;169;Transports et entreposage
7533;119;Activités spécialisées, scientifiques et techniques
7533;105;Information et communication
7533;100;Administration publique
7533;82;Autres activités de services
7533;51;Activités financières et d'assurance
7533;47;Arts, spectacles et activités récréatives
7533;31;Enseignement
7533;27;Activités immobilières
7533;25;Agriculture, sylviculture et pêche
7533;20;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7533;1;Industries extractives
7532;7404;Hébergement et restauration
7532;7088;Commerce -  réparation d'automobiles et de motocycles
7532;4833;Activités de services administratifs et de soutien
7532;3919;Construction
7532;3852;Santé humaine et action sociale
7532;3765;Activités spécialisées, scientifiques et techniques
7532;2778;Industrie manufacturière
7532;2602;Transports et entreposage
7532;2305;Information et communication
7532;1475;Enseignement
7532;1327;Activités financières et d'assurance
7532;1113;Autres activités de services
7532;808;Administration publique
7532;647;Arts, spectacles et activités récréatives
7532;619;Activités immobilières
7532;257;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7532;137;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7532;122;Agriculture, sylviculture et pêche
7532;6;Industries extractives
7531;596;Commerce -  réparation d'automobiles et de motocycles
7531;428;Santé humaine et action sociale
7531;308;Construction
7531;268;Industrie manufacturière
7531;254;Hébergement et restauration
7531;181;Activités de services administratifs et de soutien
7531;164;Transports et entreposage
7531;159;Activités spécialisées, scientifiques et techniques
7531;144;Administration publique
7531;140;Agriculture, sylviculture et pêche
7531;67;Autres activités de services
7531;48;Activités financières et d'assurance
7531;38;Enseignement
7531;31;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7531;30;Arts, spectacles et activités récréatives
7531;15;Activités immobilières
7531;9;Information et communication
7531;2;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7531;2;Industries extractives
7530;131;Commerce -  réparation d'automobiles et de motocycles
7530;114;Construction
7530;72;Hébergement et restauration
7530;71;Santé humaine et action sociale
7530;70;Administration publique
7530;59;Industrie manufacturière
7530;36;Activités de services administratifs et de soutien
7530;32;Activités spécialisées, scientifiques et techniques
7530;30;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7530;24;Autres activités de services
7530;20;Transports et entreposage
7530;11;Agriculture, sylviculture et pêche
7530;9;Activités financières et d'assurance
7530;6;Activités immobilières
7530;6;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7530;5;Arts, spectacles et activités récréatives
7530;3;Information et communication
7530;2;Enseignement
7529;914;Hébergement et restauration
7529;805;Commerce -  réparation d'automobiles et de motocycles
7529;499;Santé humaine et action sociale
7529;274;Activités spécialisées, scientifiques et techniques
7529;260;Construction
7529;242;Industrie manufacturière
7529;237;Activités de services administratifs et de soutien
7529;150;Transports et entreposage
7529;119;Autres activités de services
7529;119;Arts, spectacles et activités récréatives
7529;96;Administration publique
7529;86;Activités immobilières
7529;56;Activités financières et d'assurance
7529;36;Agriculture, sylviculture et pêche
7529;34;Information et communication
7529;33;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7529;29;Enseignement
7529;2;Industries extractives
7529;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7528;248;Commerce -  réparation d'automobiles et de motocycles
7528;148;Hébergement et restauration
7528;115;Santé humaine et action sociale
7528;111;Agriculture, sylviculture et pêche
7528;86;Construction
7528;67;Administration publique
7528;60;Activités spécialisées, scientifiques et techniques
7528;52;Industrie manufacturière
7528;51;Transports et entreposage
7528;38;Activités de services administratifs et de soutien
7528;18;Activités immobilières
7528;18;Autres activités de services
7528;17;Activités financières et d'assurance
7528;14;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7528;10;Arts, spectacles et activités récréatives
7528;9;Enseignement
7528;8;Information et communication
7528;5;Industries extractives
7527;400;Commerce -  réparation d'automobiles et de motocycles
7527;347;Santé humaine et action sociale
7527;289;Hébergement et restauration
7527;198;Industrie manufacturière
7527;170;Construction
7527;140;Activités de services administratifs et de soutien
7527;89;Activités spécialisées, scientifiques et techniques
7527;78;Agriculture, sylviculture et pêche
7527;71;Administration publique
7527;68;Transports et entreposage
7527;41;Autres activités de services
7527;34;Activités financières et d'assurance
7527;30;Activités immobilières
7527;25;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7527;21;Arts, spectacles et activités récréatives
7527;21;Enseignement
7527;16;Information et communication
7527;4;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7527;2;Industries extractives
7526;354;Santé humaine et action sociale
7526;338;Commerce -  réparation d'automobiles et de motocycles
7526;203;Hébergement et restauration
7526;187;Construction
7526;155;Industrie manufacturière
7526;138;Activités de services administratifs et de soutien
7526;78;Enseignement
7526;68;Activités spécialisées, scientifiques et techniques
7526;49;Transports et entreposage
7526;49;Administration publique
7526;41;Activités financières et d'assurance
7526;30;Agriculture, sylviculture et pêche
7526;21;Autres activités de services
7526;16;Arts, spectacles et activités récréatives
7526;15;Activités immobilières
7526;10;Information et communication
7526;3;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7526;1;Industries extractives
7525;217;Commerce -  réparation d'automobiles et de motocycles
7525;184;Hébergement et restauration
7525;184;Santé humaine et action sociale
7525;137;Construction
7525;121;Industrie manufacturière
7525;62;Activités spécialisées, scientifiques et techniques
7525;61;Administration publique
7525;45;Transports et entreposage
7525;38;Autres activités de services
7525;32;Industries extractives
7525;28;Arts, spectacles et activités récréatives
7525;23;Activités de services administratifs et de soutien
7525;18;Agriculture, sylviculture et pêche
7525;16;Activités immobilières
7525;13;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7525;10;Enseignement
7525;7;Activités financières et d'assurance
7525;3;Information et communication
7524;657;Commerce -  réparation d'automobiles et de motocycles
7524;571;Hébergement et restauration
7524;522;Santé humaine et action sociale
7524;394;Construction
7524;361;Industrie manufacturière
7524;302;Transports et entreposage
7524;218;Administration publique
7524;209;Activités de services administratifs et de soutien
7524;184;Activités spécialisées, scientifiques et techniques
7524;132;Autres activités de services
7524;126;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7524;74;Activités financières et d'assurance
7524;57;Arts, spectacles et activités récréatives
7524;47;Enseignement
7524;43;Activités immobilières
7524;26;Agriculture, sylviculture et pêche
7524;25;Information et communication
7524;11;Industries extractives
7524;3;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7523;101;Hébergement et restauration
7523;47;Santé humaine et action sociale
7523;39;Commerce -  réparation d'automobiles et de motocycles
7523;33;Industrie manufacturière
7523;26;Construction
7523;21;Agriculture, sylviculture et pêche
7523;17;Transports et entreposage
7523;9;Activités de services administratifs et de soutien
7523;8;Arts, spectacles et activités récréatives
7523;6;Autres activités de services
7523;5;Activités financières et d'assurance
7523;5;Enseignement
7523;5;Activités spécialisées, scientifiques et techniques
7523;4;Administration publique
7523;3;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7523;1;Activités immobilières
7522;193;Autres activités de services
7522;112;Santé humaine et action sociale
7522;93;Industrie manufacturière
7522;89;Commerce -  réparation d'automobiles et de motocycles
7522;58;Construction
7522;52;Transports et entreposage
7522;43;Administration publique
7522;21;Agriculture, sylviculture et pêche
7522;17;Hébergement et restauration
7522;17;Activités spécialisées, scientifiques et techniques
7522;16;Activités de services administratifs et de soutien
7522;14;Enseignement
7522;9;Activités financières et d'assurance
7522;8;Arts, spectacles et activités récréatives
7522;1;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7522;1;Activités immobilières
7521;126;Commerce -  réparation d'automobiles et de motocycles
7521;108;Industrie manufacturière
7521;106;Construction
7521;106;Hébergement et restauration
7521;97;Agriculture, sylviculture et pêche
7521;96;Santé humaine et action sociale
7521;76;Transports et entreposage
7521;45;Autres activités de services
7521;37;Activités de services administratifs et de soutien
7521;37;Activités spécialisées, scientifiques et techniques
7521;32;Administration publique
7521;17;Activités financières et d'assurance
7521;15;Arts, spectacles et activités récréatives
7521;13;Industries extractives
7521;12;Enseignement
7521;10;Activités immobilières
7521;3;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7521;1;Information et communication
7520;115;Commerce -  réparation d'automobiles et de motocycles
7520;82;Santé humaine et action sociale
7520;73;Construction
7520;65;Industrie manufacturière
7520;43;Administration publique
7520;41;Transports et entreposage
7520;34;Activités de services administratifs et de soutien
7520;32;Agriculture, sylviculture et pêche
7520;30;Hébergement et restauration
7520;29;Activités spécialisées, scientifiques et techniques
7520;25;Activités financières et d'assurance
7520;9;Autres activités de services
7520;9;Arts, spectacles et activités récréatives
7520;7;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7520;3;Enseignement
7520;3;Activités immobilières
7520;2;Information et communication
7520;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7519;279;Commerce -  réparation d'automobiles et de motocycles
7519;270;Santé humaine et action sociale
7519;176;Activités de services administratifs et de soutien
7519;154;Construction
7519;154;Hébergement et restauration
7519;111;Activités spécialisées, scientifiques et techniques
7519;91;Industrie manufacturière
7519;62;Transports et entreposage
7519;54;Administration publique
7519;42;Autres activités de services
7519;35;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7519;30;Agriculture, sylviculture et pêche
7519;23;Arts, spectacles et activités récréatives
7519;17;Activités financières et d'assurance
7519;12;Enseignement
7519;12;Activités immobilières
7519;6;Information et communication
7519;1;Industries extractives
7519;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7518;372;Commerce -  réparation d'automobiles et de motocycles
7518;365;Industrie manufacturière
7518;229;Activités de services administratifs et de soutien
7518;221;Santé humaine et action sociale
7518;195;Hébergement et restauration
7518;148;Construction
7518;91;Transports et entreposage
7518;82;Agriculture, sylviculture et pêche
7518;75;Activités spécialisées, scientifiques et techniques
7518;59;Administration publique
7518;57;Autres activités de services
7518;40;Arts, spectacles et activités récréatives
7518;35;Activités financières et d'assurance
7518;16;Enseignement
7518;14;Activités immobilières
7518;11;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7518;7;Information et communication
7518;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7515;171;Santé humaine et action sociale
7515;154;Commerce -  réparation d'automobiles et de motocycles
7515;108;Industrie manufacturière
7515;72;Administration publique
7515;60;Construction
7515;49;Hébergement et restauration
7515;35;Activités spécialisées, scientifiques et techniques
7515;35;Transports et entreposage
7515;34;Autres activités de services
7515;27;Agriculture, sylviculture et pêche
7515;20;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7515;18;Activités financières et d'assurance
7515;15;Enseignement
7515;13;Activités de services administratifs et de soutien
7515;13;Arts, spectacles et activités récréatives
7515;11;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
7515;9;Activités immobilières
7515;5;Industries extractives
7515;1;Information et communication
7514;317;Industrie manufacturière
7514;239;Commerce -  réparation d'automobiles et de motocycles
7514;144;Santé humaine et action sociale
7514;108;Hébergement et restauration
7514;97;Construction
7514;94;Activités de services administratifs et de soutien
7514;76;Administration publique
7514;53;Autres activités de services
7514;49;Activités spécialisées, scientifiques et techniques
7514;39;Transports et entreposage
7514;38;Arts, spectacles et activités récréatives
7514;24;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
7514;20;Activités financières et d'assurance
7514;13;Enseignement
7514;10;Activités immobilières
7514;9;Information et communication
7514;7;Agriculture, sylviculture et pêche
7514;2;Industries extractives
7513;1234;Hébergement et restauration
7513;1018;Commerce -  réparation d'automobiles et de motocycles
7513;827;Activités de services administratifs et de soutien
7513;658;Santé humaine et action sociale
