code_bassin;demandeurs_emploi;secteur_libelle
9329;52;Arts, spectacles et activités récréatives
9329;42;Information et communication
9329;39;Enseignement
9329;28;Activités immobilières
9329;14;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9329;6;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9329;4;Industries extractives
9328;597;Commerce -  réparation d'automobiles et de motocycles
9328;463;Santé humaine et action sociale
9328;433;Industrie manufacturière
9328;358;Hébergement et restauration
9328;215;Activités spécialisées, scientifiques et techniques
9328;211;Activités de services administratifs et de soutien
9328;202;Construction
9328;157;Transports et entreposage
9328;87;Autres activités de services
9328;65;Administration publique
9328;44;Arts, spectacles et activités récréatives
9328;43;Information et communication
9328;40;Enseignement
9328;38;Activités financières et d'assurance
9328;36;Activités immobilières
9328;12;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9328;3;Agriculture, sylviculture et pêche
9327;1737;Hébergement et restauration
9327;1160;Commerce -  réparation d'automobiles et de motocycles
9327;856;Santé humaine et action sociale
9327;853;Activités de services administratifs et de soutien
9327;458;Construction
9327;335;Industrie manufacturière
9327;327;Activités spécialisées, scientifiques et techniques
9327;229;Activités immobilières
9327;159;Autres activités de services
9327;154;Transports et entreposage
9327;108;Information et communication
9327;101;Activités financières et d'assurance
9327;98;Arts, spectacles et activités récréatives
9327;71;Enseignement
9327;46;Administration publique
9327;20;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9327;13;Agriculture, sylviculture et pêche
9327;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9326;1508;Hébergement et restauration
9326;1478;Commerce -  réparation d'automobiles et de motocycles
9326;881;Activités spécialisées, scientifiques et techniques
9326;833;Activités de services administratifs et de soutien
9326;779;Information et communication
9326;758;Construction
9326;755;Santé humaine et action sociale
9326;530;Industrie manufacturière
9326;348;Transports et entreposage
9326;276;Autres activités de services
9326;199;Activités financières et d'assurance
9326;179;Administration publique
9326;166;Arts, spectacles et activités récréatives
9326;155;Enseignement
9326;138;Activités immobilières
9326;99;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9326;24;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9326;4;Agriculture, sylviculture et pêche
9325;592;Hébergement et restauration
9325;260;Commerce -  réparation d'automobiles et de motocycles
9325;141;Construction
9325;127;Santé humaine et action sociale
9325;84;Activités spécialisées, scientifiques et techniques
9325;83;Industrie manufacturière
9325;74;Activités immobilières
9325;57;Administration publique
9325;53;Activités de services administratifs et de soutien
9325;30;Autres activités de services
9325;23;Arts, spectacles et activités récréatives
9325;22;Transports et entreposage
9325;20;Activités financières et d'assurance
9325;9;Enseignement
9325;5;Information et communication
9325;2;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9325;2;Agriculture, sylviculture et pêche
9324;3870;Hébergement et restauration
9324;3115;Commerce -  réparation d'automobiles et de motocycles
9324;2470;Activités de services administratifs et de soutien
9324;1821;Construction
9324;1766;Santé humaine et action sociale
9324;1111;Transports et entreposage
9324;1082;Activités spécialisées, scientifiques et techniques
9324;1053;Administration publique
9324;817;Industrie manufacturière
9324;584;Autres activités de services
9324;498;Activités financières et d'assurance
9324;429;Enseignement
9324;307;Arts, spectacles et activités récréatives
9324;282;Activités immobilières
9324;250;Information et communication
9324;101;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9324;20;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9324;12;Agriculture, sylviculture et pêche
9324;6;Industries extractives
9323;258;Hébergement et restauration
9323;118;Commerce -  réparation d'automobiles et de motocycles
9323;83;Santé humaine et action sociale
9323;61;Administration publique
9323;59;Construction
9323;49;Activités de services administratifs et de soutien
9323;45;Transports et entreposage
9323;45;Activités spécialisées, scientifiques et techniques
9323;32;Industrie manufacturière
9323;31;Autres activités de services
9323;17;Activités immobilières
9323;16;Arts, spectacles et activités récréatives
9323;13;Activités financières et d'assurance
9323;7;Information et communication
9323;4;Enseignement
9323;3;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9323;2;Agriculture, sylviculture et pêche
9322;445;Commerce -  réparation d'automobiles et de motocycles
9322;380;Hébergement et restauration
9322;358;Santé humaine et action sociale
9322;203;Construction
9322;134;Administration publique
9322;113;Transports et entreposage
9322;102;Activités de services administratifs et de soutien
9322;97;Industrie manufacturière
9322;96;Activités spécialisées, scientifiques et techniques
9322;89;Enseignement
9322;87;Autres activités de services
9322;54;Activités financières et d'assurance
9322;44;Arts, spectacles et activités récréatives
9322;36;Activités immobilières
9322;18;Information et communication
9322;16;Agriculture, sylviculture et pêche
9322;5;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9322;3;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9322;1;Industries extractives
9321;319;Activités de services administratifs et de soutien
9321;311;Commerce -  réparation d'automobiles et de motocycles
9321;172;Industrie manufacturière
9321;164;Hébergement et restauration
9321;149;Santé humaine et action sociale
9321;144;Construction
9321;100;Activités spécialisées, scientifiques et techniques
9321;75;Transports et entreposage
9321;50;Autres activités de services
9321;34;Administration publique
9321;20;Activités financières et d'assurance
9321;18;Enseignement
9321;15;Information et communication
9321;14;Arts, spectacles et activités récréatives
9321;14;Agriculture, sylviculture et pêche
9321;13;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9321;7;Activités immobilières
9321;3;Industries extractives
9321;3;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9320;288;Commerce -  réparation d'automobiles et de motocycles
