annee;ROME;rome_label;cbassin;lib_bassin_bmo19;oee;defm_abc;ind_tension_d
2020;D1104;Pâtisserie, confiserie, chocolaterie et glacerie;7649;AGDE-PEZENAS;18;14;2
2020;D1106;Vente en alimentation;7649;AGDE-PEZENAS;29;5;1
2020;D1202;Coiffure;7649;AGDE-PEZENAS;16;28;4
2020;D1208;Soins esthétiques et corporels;7649;AGDE-PEZENAS;13;56;4
2020;D1209;Vente de végétaux;7649;AGDE-PEZENAS;3;1;3
2020;D1211;Vente en articles de sport et loisirs;7649;AGDE-PEZENAS;5;30;3
2020;D1212;Vente en décoration et équipement du foyer;7649;AGDE-PEZENAS;14;35;3
2020;D1214;Vente en habillement et accessoires de la personne;7649;AGDE-PEZENAS;25;6;3
2020;D1401;Assistanat commercial;7649;AGDE-PEZENAS;8;37;1
2020;D1402;Relation commerciale grands comptes et entreprises;7649;AGDE-PEZENAS;1;2;3
2020;D1505;Personnel de caisse;7649;AGDE-PEZENAS;17;1;1
2020;D1507;Mise en rayon libre-service;7649;AGDE-PEZENAS;45;3;1
2020;F1602;Électricité bâtiment;7649;AGDE-PEZENAS;24;22;2
2020;F1603;Installation d'équipements sanitaires et thermiques;7649;AGDE-PEZENAS;27;2;5
2020;F1607;Pose de fermetures menuisées;7649;AGDE-PEZENAS;9;1;5
2020;F1703;Maçonnerie;7649;AGDE-PEZENAS;2;3;4
2020;F1704;Préparation du gros oeuvre et des travaux publics;7649;AGDE-PEZENAS;37;30;4
2020;G1202;Animation d'activités culturelles ou ludiques;7649;AGDE-PEZENAS;6;11;5
2020;G1203;Animation de loisirs auprès d'enfants ou d'adolescents;7649;AGDE-PEZENAS;15;51;5
2020;G1204;Éducation en activités sportives;7649;AGDE-PEZENAS;23;59;5
2020;G1501;Personnel d'étage;7649;AGDE-PEZENAS;55;56;5
2020;G1503;Management du personnel d'étage;7649;AGDE-PEZENAS;1;2;5
