Numéro,Nom de station,Altitude,"Type de Station","Ouvert / Fermé",Latitude,Longitude,Précipitations,Température,Vent,Nombre de jours de vent …,Rayonnement,Insolation,Nombre de jours avec fraction d’insolation …,Occurrence de Brouillard,Orage,Grêle,Neige
97415590,POINTE DES TROIS-BASSINS,0005 m,1,O,"-21,105","55,247",Complet,Complet,Complet,Complet,Partiel,Absent,Absent,Absent,Absent,Absent,Absent
97416410,RAVINE DES CABRIS - CIRAD,0310 m,3,O,"-21,274","55,475",Complet,Complet,Absent,Absent,Complet,Absent,Absent,Absent,Absent,Absent,Absent
97416415,PIERREFONDS - CIRAD,0061 m,3,O,"-21,309","55,437",Complet,Complet,Absent,Absent,Complet,Absent,Absent,Absent,Absent,Absent,Absent
97416463,PIERREFONDS-AEROPORT,0021 m,0,O,"-21,32","55,425",Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent,Absent,Absent,Absent
97416465,LIGNE-PARADIS - CIRAD,0156 m,3,O,"-21,319","55,485",Complet,Complet,Absent,Absent,Complet,Complet,Absent,Absent,Absent,Absent,Absent
97418110,GILLOT-AEROPORT,0008 m,0,O,"-20,892","55,528",Complet,Complet,Complet,Complet,Complet,Complet,Absent,Complet,Complet,Partiel,Absent
97422440,PLAINE DES CAFRES,1560 m,1,O,"-21,209","55,572",Complet,Complet,Partiel,Partiel,Complet,Complet,Absent,Absent,Absent,Absent,Absent
97424410,CILAOS,1197 m,1,O,"-21,134","55,471",Complet,Complet,Complet,Complet,Partiel,Complet,Absent,Absent,Absent,Absent,Absent
97502001,ST-PIERRE,0021 m,0,O,"46,766","-56,179",Complet,Complet,Complet,Complet,Absent,Complet,Absent,Complet,Complet,Complet,Partiel
98404001,KERGUELEN,0029 m,0,O,"-49,352","70,243",Complet,Complet,Complet,Complet,Complet,Complet,Absent,Complet,Complet,Complet,Absent
98508001,PAMANDZI,0007 m,0,O,"-12,805","45,282",Complet,Complet,Complet,Partiel,Complet,Complet,Absent,Absent,Absent,Absent,Absent
98611001,MAOPOOPO,0035 m,0,O,"-14,308","-178,116",Complet,Complet,Complet,Complet,Absent,Partiel,Partiel,Absent,Absent,Absent,Absent
98613001,HIHIFO,0030 m,0,O,"-13,239","-176,194",Complet,Complet,Complet,Complet,Partiel,Complet,Complet,Absent,Absent,Absent,Absent
98715002,FAAA,0002 m,0,O,"-17,555","-149,614",Complet,Complet,Complet,Complet,Absent,Complet,Complet,Partiel,Complet,Partiel,Partiel
98723001,HIVA-OA,0051 m,0,O,"-9,806","-139,035",Complet,Complet,Complet,Complet,Absent,Complet,Complet,Complet,Complet,Complet,Absent
98741001,RAPA,0002 m,0,O,"-27,618","-144,334",Complet,Complet,Complet,Complet,Absent,Partiel,Partiel,Complet,Complet,Complet,Absent
98753001,MATAURA 1,0002 m,4,O,"-23,345","-149,478",Complet,Complet,Complet,Complet,Absent,Partiel,Partiel,Complet,Complet,Complet,Absent
98812001,KOUMAC,0025 m,0,O,"-20,558","164,284",Complet,Complet,Complet,Complet,Absent,Complet,Absent,Absent,Absent,Absent,Absent
98814001,OUANAHAM,0030 m,0,O,"-20,777","167,24",Complet,Complet,Complet,Complet,Absent,Complet,Absent,Absent,Absent,Absent,Absent
98818001,NOUMEA,0070 m,0,O,"-22,276","166,452",Complet,Complet,Complet,Complet,Absent,Complet,Absent,Absent,Absent,Absent,Absent
98818002,MAGENTA,0003 m,2,O,"-22,26","166,473",Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent,Absent,Absent,Absent
98821001,LA TONTOUTA,0037 m,0,O,"-22,017","166,222",Complet,Complet,Complet,Complet,Absent,Complet,Absent,Absent,Absent,Absent,Absent
98822001,POINDIMIE,0014 m,2,O,"-20,932","165,328",Complet,Complet,Complet,Complet,Absent,Complet,Absent,Absent,Absent,Absent,Absent
99130005,ANDORRE-LA-VIEILLE,1105 m,3,O,"42,511","1,533",Complet,Complet,Complet,Absent,Absent,Complet,Complet,Absent,Absent,Absent,Absent
