libfap;ROME;fap;bassin;bassin_lib;lib_rome;defm;dee;oee_nosais;ind_t;selec_offre
A0Z40 : Agriculteurs salariés;A1416;A0Z40;0204;MARTINIQUE NORD CARAIBE;Polyculture, élevage;58.916666667;63;44;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;2405;CHARTRES;Polyculture, élevage;58.416666667;75;75;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;2421;ORLEANS;Polyculture, élevage;62.833333333;69;28;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;2701;NEVERS;Polyculture, élevage;20;26;16;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;2816;GISORS;Polyculture, élevage;22.583333333;28;85;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;2817;CAEN;Polyculture, élevage;40.166666667;53;55;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;2818;BAYEUX;Polyculture, élevage;22.75;40;19;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;3202;AMIENS;Polyculture, élevage;109.75;103;36;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;3208;BRIE TARDENOIS;Polyculture, élevage;29.416666667;25;14;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;3220;DOUAI;Polyculture, élevage;41.25;33;17;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;4419;LANGRES;Polyculture, élevage;25.166666667;43;12;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;4425;NANCY;Polyculture, élevage;41.833333333;52;22;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;4439;HAGUENAU;Polyculture, élevage;24.333333333;13;15;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;4441;STRASBOURG;Polyculture, élevage;43.416666667;45;38;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;5227;LAVAL;Polyculture, élevage;30.333333333;64;46;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;5311;PLOERMEL;Polyculture, élevage;20.25;42;11;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;7519;SAINTES;Polyculture, élevage;49.25;38;15;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;7536;MARMANDE;Polyculture, élevage;166.75;155;75;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;7545;LIMOGES;Polyculture, élevage;50.5;56;32;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;7610;FOIX;Polyculture, élevage;28.916666667;30;19;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;7620;AUCH;Polyculture, élevage;126.91666667;130;53;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;7621;CONDOM;Polyculture, élevage;57.333333333;63;78;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;7630;CARCASSONNE;Polyculture, élevage;53.416666667;62;33;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;8409;MAURIENNE;Polyculture, élevage;6.25;13;20;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;9409;BASTIA;Polyculture, élevage;38.5;48;234;1;1
A0Z40 : Agriculteurs salariés;A1416;A0Z40;9411;CORTE GHISONACCIA ALERIA;Polyculture, élevage;35.833333333;44;334;1;1
A0Z41 : Éleveurs salariés;A1403;A0Z41;1126;Versailles Saclay;Aide d'élevage agricole et aquacole;6.0833333333;9;12;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;2422;PITHIVIERS;Aide d'élevage agricole et aquacole;5.0833333333;8;12;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;2811;EVREUX;Aide d'élevage agricole et aquacole;14.333333333;18;13;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;2820;LISIEUX;Aide d'élevage agricole et aquacole;44.916666667;58;31;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;4416;CHALONS;Aide d'élevage agricole et aquacole;7.6666666667;5;57;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;5209;MAMERS;Aide d'élevage agricole et aquacole;3.6666666667;6;11;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;5227;LAVAL;Aide d'élevage agricole et aquacole;13.333333333;21;16;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;5303;MORLAIX;Aide d'élevage agricole et aquacole;7.75;15;15;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;5312;DINAN;Aide d'élevage agricole et aquacole;5;11;11;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;5314;RENNES;Aide d'élevage agricole et aquacole;24.416666667;32;13;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;7620;AUCH;Aide d'élevage agricole et aquacole;9.5833333333;9;15;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;2415;TOURS;Élevage bovin ou équin;14.833333333;21;12;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;2726;BESANCON;Élevage bovin ou équin;9.75;17;32;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;2730;LONS LE SAUNIER;Élevage bovin ou équin;15;26;22;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;2811;EVREUX;Élevage bovin ou équin;9.3333333333;15;16;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;2820;LISIEUX;Élevage bovin ou équin;33.833333333;38;20;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;2825;FLERS;Élevage bovin ou équin;29.5;41;24;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;2826;ALENCON;Élevage bovin ou équin;14.416666667;24;22;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;3201;ABBEVILLE PONTHIEU;Élevage bovin ou équin;12.5;19;13;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;5220;NANTES;Élevage bovin ou équin;16.5;31;108;1;1
A0Z41 : Éleveurs salariés;A1407;A0Z41;5227;LAVAL;Élevage bovin ou équin;26;42;39;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;5310;VANNES;Élevage bovin ou équin;19.416666667;34;115;1;1
A0Z41 : Éleveurs salariés;A1407;A0Z41;5314;RENNES;Élevage bovin ou équin;39.083333333;59;190;1;1
A0Z41 : Éleveurs salariés;A1407;A0Z41;7513;POITIERS;Élevage bovin ou équin;10;16;35;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;7614;RODEZ;Élevage bovin ou équin;26;37;17;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;8401;BOURG EN BRESSE;Élevage bovin ou équin;13.75;22;13;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;8407;ANNECY;Élevage bovin ou équin;13.166666667;32;23;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;8411;CHAMBERY;Élevage bovin ou équin;10.083333333;16;12;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;8457;CLERMONT FERRAND;Élevage bovin ou équin;19.166666667;31;30;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;8461;ISSOIRE;Élevage bovin ou équin;12.75;17;14;1;0
A0Z41 : Éleveurs salariés;A1408;A0Z41;5227;LAVAL;Élevage d'animaux sauvages ou de compagnie;10.833333333;12;23;1;0
A0Z41 : Éleveurs salariés;A1408;A0Z41;8449;VICHY CUSSET;Élevage d'animaux sauvages ou de compagnie;8.4166666667;11;13;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;5213;LES HERBIERS;Élevage de lapins et volailles;21.75;21;46;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;5220;NANTES;Élevage de lapins et volailles;3.6666666667;3;11;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;5229;BEAUPREAU;Élevage de lapins et volailles;31.833333333;40;25;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;5310;VANNES;Élevage de lapins et volailles;6.4166666667;7;26;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;5314;RENNES;Élevage de lapins et volailles;11.916666667;12;14;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;7511;BRESSUIRE;Élevage de lapins et volailles;8.3333333333;9;14;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;7513;POITIERS;Élevage de lapins et volailles;2.25;5;13;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;7524;PERIGUEUX NORD EST DORDOGNE;Élevage de lapins et volailles;10.416666667;12;17;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;7534;MONT DE MARSAN;Élevage de lapins et volailles;26.583333333;21;38;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;7539;PAYS BASQUE;Élevage de lapins et volailles;1.9166666667;1;38;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;7620;AUCH;Élevage de lapins et volailles;17;12;20;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;8435;VALLEE DE LA DROME;Élevage de lapins et volailles;1.1666666667;3;13;1;0
A0Z41 : Éleveurs salariés;A1410;A0Z41;7513;POITIERS;Élevage ovin ou caprin;5;7;32;1;0
A0Z41 : Éleveurs salariés;A1410;A0Z41;7614;RODEZ;Élevage ovin ou caprin;16.333333333;14;19;1;0
A0Z41 : Éleveurs salariés;A1411;A0Z41;3224;ARTOIS TERNOIS;Élevage porcin;1.4166666667;1;12;1;0
A0Z41 : Éleveurs salariés;A1411;A0Z41;5227;LAVAL;Élevage porcin;3.3333333333;2;20;1;0
A0Z41 : Éleveurs salariés;A1411;A0Z41;5310;VANNES;Élevage porcin;2.9166666667;3;84;1;0
A0Z41 : Éleveurs salariés;A1411;A0Z41;5314;RENNES;Élevage porcin;10.083333333;13;97;1;0
A0Z41 : Éleveurs salariés;A1411;A0Z41;5323;DOUARNENEZ;Élevage porcin;2.4166666667;4;18;1;0
A0Z41 : Éleveurs salariés;A1411;A0Z41;7538;BEARN;Élevage porcin;6.4166666667;10;16;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;1118;Porte Sud du Grand Paris;Bûcheronnage et élagage;9.0833333333;15;16;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;1126;Versailles Saclay;Bûcheronnage et élagage;8.5833333333;15;22;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;2415;TOURS;Bûcheronnage et élagage;15.416666667;20;11;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;2416;BLOIS;Bûcheronnage et élagage;11.916666667;20;12;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;2712;SENS;Bûcheronnage et élagage;5.1666666667;12;14;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;2713;AVALLON;Bûcheronnage et élagage;17.416666667;16;28;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;2817;CAEN;Bûcheronnage et élagage;8.5833333333;14;16;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;3202;AMIENS;Bûcheronnage et élagage;10.083333333;10;74;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;3216;LILLE;Bûcheronnage et élagage;12.416666667;23;18;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;3221;VALENCIENNES;Bûcheronnage et élagage;26.083333333;30;15;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;4414;SEDAN;Bûcheronnage et élagage;9.8333333333;23;12;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;4425;NANCY;Bûcheronnage et élagage;18.083333333;20;16;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;4431;METZ;Bûcheronnage et élagage;6.5833333333;11;14;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;4433;SARREBOURG;Bûcheronnage et élagage;6.1666666667;8;12;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;5209;MAMERS;Bûcheronnage et élagage;3.9166666667;1;24;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;5314;RENNES;Bûcheronnage et élagage;22.083333333;20;11;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;7520;SAINT JEAN D'ANGÉLY;Bûcheronnage et élagage;4.25;1;12;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;7524;PERIGUEUX NORD EST DORDOGNE;Bûcheronnage et élagage;18.5;35;11;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;7535;AGEN;Bûcheronnage et élagage;9.4166666667;7;29;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;7539;PAYS BASQUE;Bûcheronnage et élagage;13.916666667;26;18;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;7540;BRIVE;Bûcheronnage et élagage;10.916666667;14;16;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;7541;TULLE;Bûcheronnage et élagage;26.166666667;40;66;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;7543;GUERET;Bûcheronnage et élagage;20.083333333;27;14;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;7608;CASTRES MAZAMET;Bûcheronnage et élagage;31.166666667;43;12;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;7617;TOULOUSE;Bûcheronnage et élagage;36.5;41;58;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;7630;CARCASSONNE;Bûcheronnage et élagage;15.416666667;19;22;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;7642;MONTPELLIER;Bûcheronnage et élagage;19.083333333;28;70;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;7643;MENDE;Bûcheronnage et élagage;9.25;12;11;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;8413;VOIRON;Bûcheronnage et élagage;14.166666667;17;11;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;8415;VIENNE ROUSSILLON;Bûcheronnage et élagage;6.9166666667;10;14;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;8421;DROME ARDECHE SUD;Bûcheronnage et élagage;29.083333333;43;14;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;8430;RHONE EST;Bûcheronnage et élagage;5.3333333333;9;19;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;8442;TARARE;Bûcheronnage et élagage;7.6666666667;6;16;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;9302;HAUTES ALPES;Bûcheronnage et élagage;16.166666667;18;25;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;9304;NICE;Bûcheronnage et élagage;20;32;22;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;9316;SUD VAUCLUSE;Bûcheronnage et élagage;17.666666667;22;45;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;9326;LA CASA;Bûcheronnage et élagage;3.25;12;13;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;9331;EST VAR;Bûcheronnage et élagage;26.25;31;56;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;9332;HAUT VAR;Bûcheronnage et élagage;48.083333333;45;21;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;9333;AIX  GARDANNE SALON;Bûcheronnage et élagage;35.583333333;47;17;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;9407;AJACCIO;Bûcheronnage et élagage;6.5833333333;9;11;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1204;A0Z42;0402;REUNION SUD;Protection du patrimoine naturel;18.916666667;15;15;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1204;A0Z42;7531;LIBOURNE;Protection du patrimoine naturel;3.9166666667;9;12;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1204;A0Z42;9333;AIX  GARDANNE SALON;Protection du patrimoine naturel;9.8333333333;14;25;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1205;A0Z42;0402;REUNION SUD;Sylviculture;22.5;15;34;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1205;A0Z42;1126;Versailles Saclay;Sylviculture;2.3333333333;4;14;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1205;A0Z42;7617;TOULOUSE;Sylviculture;3.8333333333;4;14;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1205;A0Z42;7643;MENDE;Sylviculture;2.3333333333;6;20;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1205;A0Z42;8442;TARARE;Sylviculture;1.5;2;12;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1205;A0Z42;9316;SUD VAUCLUSE;Sylviculture;4.25;4;13;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1205;A0Z42;9331;EST VAR;Sylviculture;6.25;7;14;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1205;A0Z42;9332;HAUT VAR;Sylviculture;18.083333333;23;28;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1205;A0Z42;9333;AIX  GARDANNE SALON;Sylviculture;13.083333333;8;13;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2415;TOURS;Conduite d'engins agricoles et forestiers;11.083333333;5;31;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2416;BLOIS;Conduite d'engins agricoles et forestiers;14.166666667;15;13;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2421;ORLEANS;Conduite d'engins agricoles et forestiers;11.916666667;8;24;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2715;DIJON;Conduite d'engins agricoles et forestiers;8.5;12;18;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2716;BEAUNE;Conduite d'engins agricoles et forestiers;9.5;9;16;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2811;EVREUX;Conduite d'engins agricoles et forestiers;12;7;48;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2817;CAEN;Conduite d'engins agricoles et forestiers;6.75;14;57;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2824;SAINT LO COUTANCES;Conduite d'engins agricoles et forestiers;33.583333333;69;19;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;3202;AMIENS;Conduite d'engins agricoles et forestiers;43.333333333;48;96;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;3203;SANTERRE SOMME;Conduite d'engins agricoles et forestiers;109.08333333;87;32;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;3224;ARTOIS TERNOIS;Conduite d'engins agricoles et forestiers;50.083333333;61;37;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;4402;TROYES;Conduite d'engins agricoles et forestiers;22.083333333;20;15;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;4415;RETHEL;Conduite d'engins agricoles et forestiers;17.25;23;39;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;4428;MEUSE DU NORD;Conduite d'engins agricoles et forestiers;7.5;8;25;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;5206;SAUMUR;Conduite d'engins agricoles et forestiers;22.5;24;13;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;5214;LA ROCHE SUR YON;Conduite d'engins agricoles et forestiers;7.6666666667;4;20;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;5218;ANGERS;Conduite d'engins agricoles et forestiers;19.916666667;19;44;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;5220;NANTES;Conduite d'engins agricoles et forestiers;14.75;22;82;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;5224;PORNIC;Conduite d'engins agricoles et forestiers;8.5833333333;22;14;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7501;ANGOULEME;Conduite d'engins agricoles et forestiers;9.8333333333;12;39;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7518;COGNAC;Conduite d'engins agricoles et forestiers;4.6666666667;3;18;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7524;PERIGUEUX NORD EST DORDOGNE;Conduite d'engins agricoles et forestiers;26.833333333;25;64;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7527;LANGON;Conduite d'engins agricoles et forestiers;47.333333333;45;61;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7528;LESPARRE-MEDOC;Conduite d'engins agricoles et forestiers;41;33;25;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7530;BLAYE;Conduite d'engins agricoles et forestiers;16.083333333;14;13;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7531;LIBOURNE;Conduite d'engins agricoles et forestiers;58.416666667;56;92;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7532;BORDEAUX;Conduite d'engins agricoles et forestiers;31.916666667;34;182;1;1
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7534;MONT DE MARSAN;Conduite d'engins agricoles et forestiers;53.5;59;60;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7537;VILLENEUVE SUR LOT;Conduite d'engins agricoles et forestiers;36.666666667;24;11;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7617;TOULOUSE;Conduite d'engins agricoles et forestiers;9.0833333333;12;15;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7620;AUCH;Conduite d'engins agricoles et forestiers;17.416666667;15;14;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7621;CONDOM;Conduite d'engins agricoles et forestiers;15.333333333;15;28;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7631;NARBONNE;Conduite d'engins agricoles et forestiers;33.833333333;16;30;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7633;NIMES;Conduite d'engins agricoles et forestiers;75.833333333;55;32;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7638;BEZIERS;Conduite d'engins agricoles et forestiers;44.5;34;23;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7640;LODEVE;Conduite d'engins agricoles et forestiers;10.833333333;6;12;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7644;PERPIGNAN;Conduite d'engins agricoles et forestiers;50.416666667;25;25;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7648;Vauvert;Conduite d'engins agricoles et forestiers;18.666666667;16;15;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7649;Agde-Pézenas;Conduite d'engins agricoles et forestiers;15.25;9;17;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;7649;AGDE-PEZENAS;Conduite d'engins agricoles et forestiers;15.25;9;17;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;8421;DROME ARDECHE SUD;Conduite d'engins agricoles et forestiers;17.916666667;18;11;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;8431;DROME-ARDECHE-NORD;Conduite d'engins agricoles et forestiers;15.083333333;14;13;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;8457;CLERMONT FERRAND;Conduite d'engins agricoles et forestiers;10.916666667;11;16;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;9311;TOULON;Conduite d'engins agricoles et forestiers;12.083333333;9;22;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;9313;AVIGNON;Conduite d'engins agricoles et forestiers;24.083333333;15;35;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;9314;NORD VAUCLUSE;Conduite d'engins agricoles et forestiers;35.416666667;32;27;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;9315;EST CARPENTRAS;Conduite d'engins agricoles et forestiers;23.083333333;19;28;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;9329;PAYS D ARLES;Conduite d'engins agricoles et forestiers;27.25;19;19;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;9332;HAUT VAR;Conduite d'engins agricoles et forestiers;11.916666667;15;23;1;0
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;9411;CORTE GHISONACCIA ALERIA;Conduite d'engins agricoles et forestiers;6.8333333333;6;16;1;0
A1Z41 : Jardiniers salariés;A1202;A1Z41;1117;Marne la Vallée;Entretien des espaces naturels;11.75;11;11;1;0
A1Z41 : Jardiniers salariés;A1202;A1Z41;1118;Porte Sud du Grand Paris;Entretien des espaces naturels;14.333333333;18;18;1;0
A1Z41 : Jardiniers salariés;A1202;A1Z41;1127;Ouest 95;Entretien des espaces naturels;12.25;14;31;1;0
A1Z41 : Jardiniers salariés;A1202;A1Z41;1139;T3 Grand Paris Seine Ouest;Entretien des espaces naturels;6.8333333333;10;84;1;0
A1Z41 : Jardiniers salariés;A1202;A1Z41;1147;T6 Plaine Commune;Entretien des espaces naturels;10.416666667;7;18;1;0
A1Z41 : Jardiniers salariés;A1202;A1Z41;2405;CHARTRES;Entretien des espaces naturels;27.916666667;29;18;1;0
A1Z41 : Jardiniers salariés;A1202;A1Z41;2415;TOURS;Entretien des espaces naturels;21.833333333;24;21;1;0
A1Z41 : Jardiniers salariés;A1202;A1Z41;2422;PITHIVIERS;Entretien des espaces naturels;6.5833333333;3;14;1;0
A1Z41 : Jardiniers salariés;A1202;A1Z41;2702;DECIZE;Entretien des espaces naturels;20.583333333;13;11;1;0
A1Z41 : Jardiniers salariés;A1202;A1Z41;2703;COSNE SUR LOIRE;Entretien des espaces naturels;17;14;15;1;0
A1Z41 : Jardiniers salariés;A1202;A1Z41;2709;MACON;Entretien des espaces naturels;9.5;5;14;1;0
